,Period,MatchClock,Timestamp,EventType,TeamStrengthType,TeamStrength,HomeGoalieOnIce,AwayGoalieOnIce,EventPosition,EventStartCoordinate,EventEndCoordinate,EventPrimaryPlayerId,EventPrimaryPlayerName,EventPrimaryTeam,EventSecondaryPlayerId,EventSecondaryPlayerName,EventSecondaryTeam,FaceoffSpot,ShotResult,ShotSpeed,ShotScreeningPlayerIds,ShotXG,GoalAssist1Id,GoalAssist2Id,PassResult,PassSpeed,BluelineCrossingResult,BluelineCrossingDirection,BluelineCrossingAttackerIds,BluelineCrossingDefenderIds,DumpResult,DumpType,DumpAlongTheBoards,ClearType,ClearAlongTheBoards,PuckControlState,PuckControlStartZone,PuckControlEndZone,PuckControlContestingPlayerIds,StoppageOfPlayReason,PenaltyReason,ParticipatingPlayerIds,StartPlayerId1,StartPlayerId2,StartPlayerId3,StartPlayerId4,StartPlayerId5,StartPlayerId6,StartPlayerId7,StartPlayerId8,StartPlayerId9,StartPlayerId10,StartPlayerId11,StartPlayerId12,StartPlayerName1,StartPlayerName2,StartPlayerName3,StartPlayerName4,StartPlayerName5,StartPlayerName6,StartPlayerName7,StartPlayerName8,StartPlayerName9,StartPlayerName10,StartPlayerName11,StartPlayerName12,StartPlayerTeam1,StartPlayerTeam2,StartPlayerTeam3,StartPlayerTeam4,StartPlayerTeam5,StartPlayerTeam6,StartPlayerTeam7,StartPlayerTeam8,StartPlayerTeam9,StartPlayerTeam10,StartPlayerTeam11,StartPlayerTeam12,StartPlayerCoordinates1,StartPlayerCoordinates2,StartPlayerCoordinates3,StartPlayerCoordinates4,StartPlayerCoordinates5,StartPlayerCoordinates6,StartPlayerCoordinates7,StartPlayerCoordinates8,StartPlayerCoordinates9,StartPlayerCoordinates10,StartPlayerCoordinates11,StartPlayerCoordinates12,StartPlayerVelocity1,StartPlayerVelocity2,StartPlayerVelocity3,StartPlayerVelocity4,StartPlayerVelocity5,StartPlayerVelocity6,StartPlayerVelocity7,StartPlayerVelocity8,StartPlayerVelocity9,StartPlayerVelocity10,StartPlayerVelocity11,StartPlayerVelocity12,StartPlayerDirection1,StartPlayerDirection2,StartPlayerDirection3,StartPlayerDirection4,StartPlayerDirection5,StartPlayerDirection6,StartPlayerDirection7,StartPlayerDirection8,StartPlayerDirection9,StartPlayerDirection10,StartPlayerDirection11,StartPlayerDirection12
2649,2,988,1704026093174,Goal,AwayPowerplay,4v5,True,True,,,,888040998.0,#38 Tomas HYKA,Away,,,,,,,,,888052795.0,888042987.0,,,,,,,,,,,,,,,,,,"888040998,888052795,888042987",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2650,2,988,1704026093360,PuckControl,AwayPowerplay,4v5,True,True,HomeTeamZone,"-27.4,-1","-27.1,0.1",150983.0,#29 Sandro Aeschlimann,Home,,,,,,,,,,,,,,,,,,,,,,HomeControl,AwayTeamZone,AwayTeamZone,,,,150983,888052788.0,888040998.0,888052796.0,888042987.0,888040859.0,888052795.0,150983.0,100375.0,340162.0,308599.0,340163.0,,#35 Milan Kloucek,#38 Tomas HYKA,#23 Lukas Sedlak,#41 Peter Ceresnak,#61 Martin Kaut,#69 Lukas Radil,#29 Sandro Aeschlimann,#10 Andres Ambühl,#6 Klas Dahlbeck,#46 Dominik Egli,#42 Joakim Nordström,,Away,Away,Away,Away,Away,Away,Home,Home,Home,Home,Home,,"26.6,-0.1","-19.9,7.5","-25.2,1.2","-8.9,12.4","-15.6,-7.3","-28.8,6.6","-26,0","-21,5.7","-25.5,3.1","-22.1,-2.6","-24.3,5.2",,,,,,,,,,,,,,,,,,,,,,,,,
2651,2,988,1704026094020,StoppageOfPlay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Goal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2652,2,988,1704026142900,Faceoff,FullStrength,5v5,True,True,NeutralZone,,,888052794.0,#79 Tomas Zohorna,Away,888052794.0,#79 Tomas Zohorna,Away,Center,,,,,,,,,,,,,,,,,,,,,,,,888052794,888052788.0,888048202.0,888047300.0,888052795.0,888052794.0,888052792.0,150983.0,153207.0,337830.0,152416.0,337835.0,332924.0,#35 Milan Kloucek,#65 Martin Bucko,#90 Robert Kousal,#69 Lukas Radil,#79 Tomas Zohorna,#24 Libor Hajek,#29 Sandro Aeschlimann,#20 Michael Fora,#44 Matej Stransky,#90 Sven Jung,#40 Dennis Rasmussen,#25 Henrik Haapala,Away,Away,Away,Away,Away,Away,Home,Home,Home,Home,Home,Home,"24.4,0.3","6.4,3.4","0.8,-4.4","0.7,4.1","0.2,0.2","6.9,-2.4","-24.4,-0.5","-5.8,-4.9","-0.3,-3.8","-6.7,3.3","0.3,0.9","-0.2,4.4",,,,,,,,,,,,,,,,,,,,,,,,
2653,2,988,1704026142900,PuckControl,FullStrength,5v5,True,True,NeutralZone,"-0.3,0","6.1,-1.2",,,,,,,,,,,,,,,,,,,,,,,,,Loose,NeutralZone,NeutralZone,,,,,888052788.0,888048202.0,888047300.0,888052795.0,888052794.0,888052792.0,150983.0,153207.0,337830.0,152416.0,337835.0,332924.0,#35 Milan Kloucek,#65 Martin Bucko,#90 Robert Kousal,#69 Lukas Radil,#79 Tomas Zohorna,#24 Libor Hajek,#29 Sandro Aeschlimann,#20 Michael Fora,#44 Matej Stransky,#90 Sven Jung,#40 Dennis Rasmussen,#25 Henrik Haapala,Away,Away,Away,Away,Away,Away,Home,Home,Home,Home,Home,Home,"24.4,0.3","6.4,3.4","0.8,-4.4","0.7,4.1","0.2,0.2","6.9,-2.4","-24.4,-0.5","-5.8,-4.9","-0.3,-3.8","-6.7,3.3","0.3,0.9","-0.2,4.4",,,,,,,,,,,,,,,,,,,,,,,,
2654,2,990,1704026144060,PuckControl,FullStrength,5v5,True,True,NeutralZone,"6.1,-1.2","7.3,-4.4",888052792.0,#24 Libor Hajek,Away,,,,,,,,,,,,,,,,,,,,,,AwayControl,NeutralZone,HomeTeamZone,,,,888052792,888052788.0,888048202.0,888047300.0,888052795.0,888052794.0,888052792.0,150983.0,153207.0,337830.0,152416.0,337835.0,332924.0,#35 Milan Kloucek,#65 Martin Bucko,#90 Robert Kousal,#69 Lukas Radil,#79 Tomas Zohorna,#24 Libor Hajek,#29 Sandro Aeschlimann,#20 Michael Fora,#44 Matej Stransky,#90 Sven Jung,#40 Dennis Rasmussen,#25 Henrik Haapala,Away,Away,Away,Away,Away,Away,Home,Home,Home,Home,Home,Home,"24.6,0.3","7.9,5.3","0.1,-4.4","0.7,4.6","0.3,-0.3","7.8,-2.6","-24.2,-0.5","-5.5,-5.1","-0.9,-3.2","-6.1,3.7","0.2,1","0.1,4.8",,,,,,,,,,,,,,,,,,,,,,,,
2655,2,990,1704026144580,BluelineCrossing,FullStrength,5v5,True,True,AwayTeamZone,"7.2,-3.2",,888052792.0,#24 Libor Hajek,Away,,,,,,,,,,,,,,TowardsHome,,,,,,,,,,,,,,888052792,888052788.0,888048202.0,888047300.0,888052795.0,888052794.0,888052792.0,150983.0,153207.0,337830.0,152416.0,337835.0,332924.0,#35 Milan Kloucek,#65 Martin Bucko,#90 Robert Kousal,#69 Lukas Radil,#79 Tomas Zohorna,#24 Libor Hajek,#29 Sandro Aeschlimann,#20 Michael Fora,#44 Matej Stransky,#90 Sven Jung,#40 Dennis Rasmussen,#25 Henrik Haapala,Away,Away,Away,Away,Away,Away,Home,Home,Home,Home,Home,Home,"24.8,0.3","8.1,7.3","0.1,-5.4","0.2,6.7","-0.2,-0.2","8.3,-3.2","-24.2,-0.7","-5.5,-5.2","-1.1,-3.9","-5.1,4.3","-0.2,0.3","0.1,5.4",0.384,4.282,3.143,4.356,1.373,1.972,0.315,0.483,1.791,2.104,1.51,1.523,"0.856,-0.517","0.016,1","-0.031,-1","-0.263,0.965","-0.839,-0.544","0.519,-0.855","-0.23,-0.973","-0.519,-0.855","0.43,-0.903","0.789,0.614","-0.966,-0.257","0.453,0.892"
2656,2,990,1704026144860,Pass,FullStrength,5v5,True,True,AwayTeamZone,"7.4,-4.6","5.7,13.5",888052792.0,#24 Libor Hajek,Away,888048202.0,#65 Martin Bucko,Away,,,,,,,,Successful,16.8,,,,,,,,,,,,,,,,"888052792,888048202",888052788.0,888048202.0,888047300.0,888052795.0,888052794.0,888052792.0,150983.0,153207.0,337830.0,152416.0,337835.0,332924.0,#35 Milan Kloucek,#65 Martin Bucko,#90 Robert Kousal,#69 Lukas Radil,#79 Tomas Zohorna,#24 Libor Hajek,#29 Sandro Aeschlimann,#20 Michael Fora,#44 Matej Stransky,#90 Sven Jung,#40 Dennis Rasmussen,#25 Henrik Haapala,Away,Away,Away,Away,Away,Away,Home,Home,Home,Home,Home,Home,"24.9,0.3","8.1,8.5","0,-6.4","-0.1,7.8","-0.5,-0.5","8.5,-3.7","-24.3,-0.7","-5.6,-5.3","-0.8,-4.4","-4.8,4.7","-0.8,0.2","0.4,5.9",0.517,4.735,4.001,4.25,1.851,1.766,0.308,0.895,2.049,1.873,2.578,2.551,"0.811,0.585","-0.011,1","-0.155,-0.988","-0.315,0.949","-0.807,-0.59","0.367,-0.93","-0.811,-0.584","-0.977,-0.213","0.504,-0.863","0.292,0.957","-0.972,-0.237","0.595,0.804"
2657,2,990,1704026144880,PuckControl,FullStrength,5v5,True,True,AwayTeamZone,"7.3,-4.4","5.7,13.5",,,,,,,,,,,,,,,,,,,,,,,,,AwayControl,HomeTeamZone,NeutralZone,,,,,888052788.0,888048202.0,888047300.0,888052795.0,888052794.0,888052792.0,150983.0,153207.0,337830.0,152416.0,337835.0,332924.0,#35 Milan Kloucek,#65 Martin Bucko,#90 Robert Kousal,#69 Lukas Radil,#79 Tomas Zohorna,#24 Libor Hajek,#29 Sandro Aeschlimann,#20 Michael Fora,#44 Matej Stransky,#90 Sven Jung,#40 Dennis Rasmussen,#25 Henrik Haapala,Away,Away,Away,Away,Away,Away,Home,Home,Home,Home,Home,Home,"24.9,0.4","8.1,8.6","0,-6.5","-0.2,7.9","-0.6,-0.5","8.6,-3.7","-24.3,-0.7","-5.6,-5.3","-0.8,-4.4","-4.8,4.8","-0.8,0.2","0.4,5.9",,,,,,,,,,,,,,,,,,,,,,,,
2658,2,990,1704026144940,BluelineCrossing,FullStrength,5v5,True,True,AwayTeamZone,"7.2,-3.9",,888052792.0,#24 Libor Hajek,Away,,,,,,,,,,,,,,TowardsOpponent,,,,,,,,,,,,,,888052792,888052788.0,888048202.0,888047300.0,888052795.0,888052794.0,888052792.0,150983.0,153207.0,337830.0,152416.0,337835.0,332924.0,#35 Milan Kloucek,#65 Martin Bucko,#90 Robert Kousal,#69 Lukas Radil,#79 Tomas Zohorna,#24 Libor Hajek,#29 Sandro Aeschlimann,#20 Michael Fora,#44 Matej Stransky,#90 Sven Jung,#40 Dennis Rasmussen,#25 Henrik Haapala,Away,Away,Away,Away,Away,Away,Home,Home,Home,Home,Home,Home,"24.9,0.4","8.1,8.9","-0.1,-6.8","-0.2,8.2","-0.7,-0.6","8.6,-3.8","-24.3,-0.8","-5.7,-5.3","-0.7,-4.6","-4.8,4.9","-1,0.2","0.5,6.1",0.555,4.832,4.353,4.203,2.127,1.558,0.272,1.128,2.222,2.045,2.595,2.641,"0.7,0.715","-0.033,0.999","-0.209,-0.978","-0.351,0.936","-0.805,-0.594","0.321,-0.947","-0.84,-0.542","-0.996,-0.092","0.471,-0.882","0.153,0.988","-0.968,-0.251","0.604,0.797"
